subspecies	mean.pi.auto	mean.pi.z	mean.pi.z.corr	category
erythrogaster	0.005368792	0.002815625	0.002559659	subspecies
gutturalis	0.005436221	0.003133885	0.002848986	subspecies
rustica	0.0055043	0.003414087	0.003103715	subspecies
savignii	0.005216909	0.003063977	0.002785434	subspecies
transtiva	0.005416034	0.003153426	0.002866751	subspecies
tytleri	0.00544354	0.003103068	0.002820971	subspecies
rustica-gutturalis	0.005471138	0.003513457	0.003194052	hybrid
rustica-tytleri	0.005550658	0.003311181	0.003010165	hybrid
gutturalis-tytleri	0.005501178	0.003257249	0.002961135	hybrid
gutturalis_boatu	0.004854994	0.002473659	0.002248781	within
gutturalis_changchun	0.004877615	0.002775064	0.002522785	within
gutturalis_changsha	0.005097738	0.00274368	0.002494255	within
gutturalis_hainan	0.005097297	0.002670103	0.002427366	within
gutturalis_harbin	0.004835669	0.002309456	0.002099505	within
gutturalis_hokkaido	0.004991762	0.002347027	0.002133661	within
gutturalis_nanning	0.004698115	0.002283868	0.002076244	within
gutturalis_qinhuangdao	0.004851339	0.00166575	0.001514318	within
gutturalis_qiqihar	0.004933665	0.00283385	0.002576227	within
gutturalis_shuang	0.004995734	0.002801297	0.002546634	within
gutturalis_tokyo	0.004774997	0.002341582	0.002128711	within
gutturalis_xian	0.004863411	0.002418786	0.002198896	within
gutturalis_zhengzhou	0.004866335	0.002694249	0.002449317	within
rustica_agadir	0.0050746	0.002637062	0.002397329	within
rustica_beni	0.004983367	0.002598882	0.00236262	within
rustica_durgun	0.005077942	0.002972548	0.002702316	within
rustica_khovd	0.004847413	0.002557478	0.00232498	within
rustica_krasnoyarsk	0.004044976	0.002376542	0.002160493	within
rustica_marrakech	0.004934335	0.002650692	0.00240972	within
rustica_moscow	0.004998367	0.002644803	0.002404366	within
rustica_urumqi	0.005021513	0.002524361	0.002294874	within
rustica_yekaterinburg	0.004699198	0.002550962	0.002319056	within
tytleri_kytyleek	0.005035204	0.001744542	0.001585947	within
tytleri_malamolevo	0.004382281	0.00159307	0.001448245	within
tytleri_zakaltoose	0.005334322	0.003066878	0.002788071	within
