CHROM	SCAFF	BIN_START	BIN_END	pbs
chr1	QRBI01000060.1	1	100000	-0.18361465
chr1	QRBI01000120.1	1	100000	0.02161405
chr1	QRBI01000120.1	100001	200000	0.022477945
chr1	QRBI01000120.1	200001	300000	0.0149682
chr1	QRBI01000120.1	300001	400000	0.0195385
chr1	QRBI01000120.1	400001	500000	0.02257063
chr1	QRBI01000120.1	500001	600000	0.02240765
chr1	QRBI01000120.1	600001	700000	0.014187725
chr1	QRBI01000120.1	700001	800000	0.017451315
chr1	QRBI01000120.1	800001	900000	0.021583545
chr1	QRBI01000120.1	900001	1000000	0.013324615
chr1	QRBI01000120.1	1000001	1100000	0.01933465
chr1	QRBI01000120.1	1100001	1200000	0.0150722
chr1	QRBI01000120.1	1200001	1300000	0.02579279
chr1	QRBI01000120.1	1300001	1400000	0.01717105
chr1	QRBI01000120.1	1400001	1500000	0.0233671
chr1	QRBI01000120.1	1500001	1600000	0.015642655
chr1	QRBI01000120.1	1600001	1700000	0.023089335
chr1	QRBI01000120.1	1700001	1800000	0.0199628
chr1	QRBI01000120.1	1800001	1900000	0.014181325
chr1	QRBI01000120.1	1900001	2000000	0.0244652
chr1	QRBI01000120.1	2000001	2100000	0.0309458
chr1	QRBI01000120.1	2100001	2200000	0.02475025
chr1	QRBI01000120.1	2200001	2300000	0.02446135
chr1	QRBI01000120.1	2300001	2400000	0.031686
chr1	QRBI01000120.1	2400001	2500000	0.0228785
chr1	QRBI01000120.1	2500001	2600000	0.01605395
chr1	QRBI01000120.1	2600001	2700000	0.022606095
chr1	QRBI01000120.1	2700001	2800000	0.026488
chr1	QRBI01000120.1	2800001	2900000	0.01905155
chr1	QRBI01000120.1	2900001	3000000	0.02708075
chr1	QRBI01000120.1	3000001	3100000	0.02113465
chr1	QRBI01000120.1	3100001	3200000	0.01990329
chr1	QRBI01000120.1	3200001	3300000	0.0210384
chr1	QRBI01000120.1	3300001	3400000	0.01686175
chr1	QRBI01000120.1	3400001	3500000	0.01990795
chr1	QRBI01000120.1	3500001	3600000	0.0259502
chr1	QRBI01000120.1	3600001	3700000	0.02233075
chr1	QRBI01000120.1	3700001	3800000	0.017514085
chr1	QRBI01000120.1	3800001	3900000	0.01738715
chr1	QRBI01000120.1	3900001	4000000	0.0195099
chr1	QRBI01000120.1	4000001	4100000	0.01506808
chr1	QRBI01000120.1	4100001	4200000	0.0144454
chr1	QRBI01000120.1	4200001	4300000	0.019713975
chr1	QRBI01000120.1	4300001	4400000	0.0144067
chr1	QRBI01000120.1	4400001	4500000	0.0226418
chr1	QRBI01000120.1	4500001	4600000	0.022547225
chr1	QRBI01000120.1	4600001	4700000	0.02295445
chr1	QRBI01000120.1	4700001	4800000	0.029036
chr1	QRBI01000120.1	4800001	4900000	0.03087065
chr1	QRBI01000120.1	4900001	5000000	0.02543705
chr1	QRBI01000120.1	5000001	5100000	0.0224167
chr1	QRBI01000120.1	5100001	5200000	0.03550775
chr1	QRBI01000120.1	5200001	5300000	0.01703869
chr1	QRBI01000120.1	5300001	5400000	0.0193809
chr1	QRBI01000120.1	5400001	5500000	0.024321035
chr1	QRBI01000120.1	5500001	5600000	0.01901681
chr1	QRBI01000120.1	5600001	5700000	0.030440475
chr1	QRBI01000120.1	5700001	5800000	0.02139495
chr1	QRBI01000120.1	5800001	5900000	0.02285708
chr1	QRBI01000120.1	5900001	6000000	0.0235977
chr1	QRBI01000120.1	6000001	6100000	0.02817485
chr1	QRBI01000120.1	6100001	6200000	0.02323105
chr1	QRBI01000120.1	6200001	6300000	0.0244385
chr1	QRBI01000120.1	6300001	6400000	0.0192114
chr1	QRBI01000120.1	6400001	6500000	0.0251858
chr1	QRBI01000120.1	6500001	6600000	0.02103595
chr1	QRBI01000120.1	6600001	6700000	0.0252404
chr1	QRBI01000120.1	6700001	6800000	0.023841
chr1	QRBI01000120.1	6800001	6900000	0.016878865
chr1	QRBI01000120.1	6900001	7000000	0.01710235
chr1	QRBI01000120.1	7000001	7100000	0.01883506
chr1	QRBI01000120.1	7100001	7200000	0.01893597
chr1	QRBI01000120.1	7200001	7300000	0.026097077
chr1	QRBI01000120.1	7300001	7400000	0.033098445
chr1	QRBI01000120.1	7400001	7500000	0.02414214
chr1	QRBI01000120.1	7500001	7600000	0.015500567
chr1	QRBI01000120.1	7600001	7700000	0.01488822
chr1	QRBI01000120.1	7700001	7800000	0.02435772
chr1	QRBI01000120.1	7800001	7900000	0.0363335
chr1	QRBI01000120.1	7900001	8000000	0.0331165
chr1	QRBI01000120.1	8000001	8100000	0.03161957
chr1	QRBI01000120.1	8100001	8200000	0.03298775
chr1	QRBI01000120.1	8200001	8300000	0.02146944
chr1	QRBI01000120.1	8300001	8400000	0.022363955
chr1	QRBI01000120.1	8400001	8500000	0.02682745
chr1	QRBI01000120.1	8500001	8600000	0.017741945
chr1	QRBI01000120.1	8600001	8700000	0.01472905
chr1	QRBI01000120.1	8700001	8800000	0.0226474
chr1	QRBI01000120.1	8800001	8900000	0.0206321
chr1	QRBI01000120.1	8900001	9000000	0.02338625
chr1	QRBI01000120.1	9000001	9100000	0.00573703
chr1	QRBI01000120.1	9100001	9200000	0.0254357
chr1	QRBI01000120.1	9200001	9300000	0.01983465
chr1	QRBI01000120.1	9300001	9400000	0.01950785
chr1	QRBI01000120.1	9400001	9500000	0.025154735
chr1	QRBI01000120.1	9500001	9600000	0.020643615
