CHROM	SCAFF	BIN_START	BIN_END	pbs
chr1	QRBI01000060.1	1	100000	0.083561
chr1	QRBI01000120.1	1	100000	0.013822635
chr1	QRBI01000120.1	100001	200000	0.019598695
chr1	QRBI01000120.1	200001	300000	0.017179975
chr1	QRBI01000120.1	300001	400000	0.009277495
chr1	QRBI01000120.1	400001	500000	0.02054498
chr1	QRBI01000120.1	500001	600000	0.014032335
chr1	QRBI01000120.1	600001	700000	0.017317075
chr1	QRBI01000120.1	700001	800000	0.014696925
chr1	QRBI01000120.1	800001	900000	0.017219795
chr1	QRBI01000120.1	900001	1000000	0.014023845
chr1	QRBI01000120.1	1000001	1100000	0.0192793
chr1	QRBI01000120.1	1100001	1200000	0.00354473
chr1	QRBI01000120.1	1200001	1300000	0.01247934
chr1	QRBI01000120.1	1300001	1400000	0.02269895
chr1	QRBI01000120.1	1400001	1500000	0.01847722
chr1	QRBI01000120.1	1500001	1600000	0.02122895
chr1	QRBI01000120.1	1600001	1700000	0.019155315
chr1	QRBI01000120.1	1700001	1800000	0.013693155
chr1	QRBI01000120.1	1800001	1900000	0.01953115
chr1	QRBI01000120.1	1900001	2000000	0.03035555
chr1	QRBI01000120.1	2000001	2100000	0.01047475
chr1	QRBI01000120.1	2100001	2200000	0.0141242
chr1	QRBI01000120.1	2200001	2300000	0.00936223
chr1	QRBI01000120.1	2300001	2400000	0.01747187
chr1	QRBI01000120.1	2400001	2500000	0.01662795
chr1	QRBI01000120.1	2500001	2600000	0.01209915
chr1	QRBI01000120.1	2600001	2700000	0.017529075
chr1	QRBI01000120.1	2700001	2800000	0.013484375
chr1	QRBI01000120.1	2800001	2900000	0.0206492
chr1	QRBI01000120.1	2900001	3000000	0.03488505
chr1	QRBI01000120.1	3000001	3100000	0.014158245
chr1	QRBI01000120.1	3100001	3200000	0.01389994
chr1	QRBI01000120.1	3200001	3300000	0.0146612
chr1	QRBI01000120.1	3300001	3400000	0.004553945
chr1	QRBI01000120.1	3400001	3500000	0.01979925
chr1	QRBI01000120.1	3500001	3600000	0.0173057
chr1	QRBI01000120.1	3600001	3700000	0.01128455
chr1	QRBI01000120.1	3700001	3800000	0.016874525
chr1	QRBI01000120.1	3800001	3900000	0.01785825
chr1	QRBI01000120.1	3900001	4000000	0.01069351
chr1	QRBI01000120.1	4000001	4100000	0.0225331
chr1	QRBI01000120.1	4100001	4200000	0.012677245
chr1	QRBI01000120.1	4200001	4300000	0.014649375
chr1	QRBI01000120.1	4300001	4400000	0.0053953415
chr1	QRBI01000120.1	4400001	4500000	0.0158493
chr1	QRBI01000120.1	4500001	4600000	0.025031225
chr1	QRBI01000120.1	4600001	4700000	0.03030135
chr1	QRBI01000120.1	4700001	4800000	0.010775504
chr1	QRBI01000120.1	4800001	4900000	0.02955722
chr1	QRBI01000120.1	4900001	5000000	0.017358
chr1	QRBI01000120.1	5000001	5100000	0.013240895
chr1	QRBI01000120.1	5100001	5200000	0.01405795
chr1	QRBI01000120.1	5200001	5300000	0.008002765
chr1	QRBI01000120.1	5300001	5400000	0.0201284
chr1	QRBI01000120.1	5400001	5500000	0.00975773
chr1	QRBI01000120.1	5500001	5600000	0.01563791
chr1	QRBI01000120.1	5600001	5700000	0.008698575
chr1	QRBI01000120.1	5700001	5800000	0.02198995
chr1	QRBI01000120.1	5800001	5900000	0.0065089325
chr1	QRBI01000120.1	5900001	6000000	0.01383215
chr1	QRBI01000120.1	6000001	6100000	0.01864925
chr1	QRBI01000120.1	6100001	6200000	0.0152634
chr1	QRBI01000120.1	6200001	6300000	0.02449455
chr1	QRBI01000120.1	6300001	6400000	0.0094176
chr1	QRBI01000120.1	6400001	6500000	0.0206944
chr1	QRBI01000120.1	6500001	6600000	0.01748955
chr1	QRBI01000120.1	6600001	6700000	0.0326321
chr1	QRBI01000120.1	6700001	6800000	0.0189808
chr1	QRBI01000120.1	6800001	6900000	0.011916765
chr1	QRBI01000120.1	6900001	7000000	0.02479505
chr1	QRBI01000120.1	7000001	7100000	0.01406439
chr1	QRBI01000120.1	7100001	7200000	0.01801067
chr1	QRBI01000120.1	7200001	7300000	0.011773357
chr1	QRBI01000120.1	7300001	7400000	0.024863695
chr1	QRBI01000120.1	7400001	7500000	0.02268689
chr1	QRBI01000120.1	7500001	7600000	0.025078862
chr1	QRBI01000120.1	7600001	7700000	0.009385865
chr1	QRBI01000120.1	7700001	7800000	0.011567095
chr1	QRBI01000120.1	7800001	7900000	0.01746681
chr1	QRBI01000120.1	7900001	8000000	0.01662342
chr1	QRBI01000120.1	8000001	8100000	0.01723002
chr1	QRBI01000120.1	8100001	8200000	0.04437035
chr1	QRBI01000120.1	8200001	8300000	0.03051354
chr1	QRBI01000120.1	8300001	8400000	0.038716355
