CHROM	BIN_START	N_SNPS	TajimaD
QRBI01000060.1	0	10	-0.85906
QRBI01000120.1	0	4312	-1.11324
QRBI01000120.1	100000	4542	-1.23147
QRBI01000120.1	200000	4610	-1.12211
QRBI01000120.1	300000	4094	-1.16121
QRBI01000120.1	400000	4271	-1.26193
QRBI01000120.1	500000	4022	-1.11327
QRBI01000120.1	600000	3979	-0.954364
QRBI01000120.1	700000	3800	-1.03503
QRBI01000120.1	800000	3619	-1.22623
QRBI01000120.1	900000	4127	-1.24172
QRBI01000120.1	1000000	4253	-1.28444
QRBI01000120.1	1100000	2724	-1.19849
QRBI01000120.1	1200000	4074	-1.3932
QRBI01000120.1	1300000	3572	-1.3089
QRBI01000120.1	1400000	3769	-1.37084
QRBI01000120.1	1500000	4092	-1.40651
QRBI01000120.1	1600000	3728	-1.25305
QRBI01000120.1	1700000	3719	-1.23677
QRBI01000120.1	1800000	3813	-1.52186
QRBI01000120.1	1900000	3719	-1.34918
QRBI01000120.1	2000000	4115	-1.23705
QRBI01000120.1	2100000	3867	-1.23771
QRBI01000120.1	2200000	3927	-1.38501
QRBI01000120.1	2300000	4070	-1.31003
QRBI01000120.1	2400000	4086	-1.48156
QRBI01000120.1	2500000	3768	-1.24711
QRBI01000120.1	2600000	4320	-1.27609
QRBI01000120.1	2700000	3706	-1.29313
QRBI01000120.1	2800000	3675	-1.18478
QRBI01000120.1	2900000	3828	-0.987945
QRBI01000120.1	3000000	4495	-1.29342
QRBI01000120.1	3100000	4418	-1.05004
QRBI01000120.1	3200000	3987	-1.38648
QRBI01000120.1	3300000	3560	-1.32645
QRBI01000120.1	3400000	4032	-1.31432
QRBI01000120.1	3500000	3848	-1.44146
QRBI01000120.1	3600000	3759	-1.44843
QRBI01000120.1	3700000	3998	-1.40639
QRBI01000120.1	3800000	4473	-1.27599
QRBI01000120.1	3900000	4367	-1.24094
QRBI01000120.1	4000000	4139	-1.26003
QRBI01000120.1	4100000	4287	-1.33382
QRBI01000120.1	4200000	3456	-1.42627
QRBI01000120.1	4300000	3197	-1.55993
QRBI01000120.1	4400000	3564	-1.4889
QRBI01000120.1	4500000	3931	-1.41463
QRBI01000120.1	4600000	4174	-1.34783
QRBI01000120.1	4700000	3332	-1.22794
QRBI01000120.1	4800000	3910	-1.29068
QRBI01000120.1	4900000	4501	-1.21246
QRBI01000120.1	5000000	4487	-1.20316
QRBI01000120.1	5100000	4318	-1.35591
QRBI01000120.1	5200000	4298	-1.44427
QRBI01000120.1	5300000	4523	-1.39841
QRBI01000120.1	5400000	4193	-1.27449
QRBI01000120.1	5500000	4239	-1.11443
QRBI01000120.1	5600000	3874	-1.09143
QRBI01000120.1	5700000	3659	-1.4254
QRBI01000120.1	5800000	3905	-1.418
QRBI01000120.1	5900000	3689	-1.35638
QRBI01000120.1	6000000	3324	-1.38118
QRBI01000120.1	6100000	2766	-1.7066
QRBI01000120.1	6200000	3881	-1.45598
QRBI01000120.1	6300000	4248	-1.49066
QRBI01000120.1	6400000	4367	-1.4375
QRBI01000120.1	6500000	3684	-1.40062
QRBI01000120.1	6600000	4236	-1.4935
QRBI01000120.1	6700000	3379	-1.19302
QRBI01000120.1	6800000	3815	-1.28975
QRBI01000120.1	6900000	4542	-1.20017
QRBI01000120.1	7000000	4013	-1.2834
QRBI01000120.1	7100000	3327	-1.33866
QRBI01000120.1	7200000	2840	-1.1388
QRBI01000120.1	7300000	2579	-1.10045
QRBI01000120.1	7400000	3002	-1.3238
QRBI01000120.1	7500000	3313	-1.19878
QRBI01000120.1	7600000	3351	-1.44706
QRBI01000120.1	7700000	2945	-1.33087
QRBI01000120.1	7800000	3615	-1.28254
QRBI01000120.1	7900000	2772	-1.24598
QRBI01000120.1	8000000	3012	-1.55853
QRBI01000120.1	8100000	2872	-1.49648
QRBI01000120.1	8200000	2829	-1.35976
QRBI01000120.1	8300000	2837	-1.35142
QRBI01000120.1	8400000	3229	-1.12489
QRBI01000120.1	8500000	2812	-1.23426
QRBI01000120.1	8600000	2617	-1.26735
QRBI01000120.1	8700000	2793	-1.29989
QRBI01000120.1	8800000	2743	-1.26369
QRBI01000120.1	8900000	2674	-1.16824
QRBI01000120.1	9000000	3263	-1.44879
QRBI01000120.1	9100000	3289	-1.53985
QRBI01000120.1	9200000	3737	-1.31779
QRBI01000120.1	9300000	2865	-1.23586
QRBI01000120.1	9400000	2835	-1.21527
QRBI01000120.1	9500000	3398	-1.43178
QRBI01000120.1	9600000	2976	-1.42534
QRBI01000120.1	9700000	2740	-1.45593
QRBI01000120.1	9800000	2485	-1.29148
QRBI01000120.1	9900000	2439	-1.28414
QRBI01000120.1	10000000	2224	-1.38565
QRBI01000120.1	10100000	2945	-1.11181
QRBI01000120.1	10200000	2581	-1.37356
