scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
QRBI01000120.1,14001,16000,15066,196,50,0.5556,0.1111,0.6667,0.1345,0.0779
QRBI01000120.1,42001,44000,43080,183,62,2.0278,1.9167,0.0282,0.0233,0.0123
QRBI01000120.1,54001,56000,55118,129,56,1.9259,2.5648,-0.1423,-0.2125,-0.0967
QRBI01000120.1,82001,84000,82936,169,53,2.1458,2.7292,-0.1197,-0.0939,-0.0691
QRBI01000120.1,86001,88000,86972,158,50,0.3241,1.0046,-0.5122,-0.4395,-0.2068
QRBI01000120.1,114001,116000,114951,166,59,1.287,1.3981,-0.0414,-0.0261,-0.0133
QRBI01000120.1,120001,122000,120760,143,55,1.2639,1.0694,0.0833,0.0626,0.0431
QRBI01000120.1,136001,138000,137151,234,67,2.6806,1.0833,0.4244,0.2371,0.1776
QRBI01000120.1,138001,140000,138685,174,62,1.2037,1.5509,-0.1261,-0.165,-0.0808
QRBI01000120.1,166001,168000,167190,153,50,0.5417,0.7361,-0.1522,-0.0383,-0.0288
QRBI01000120.1,212001,214000,213031,154,53,1.6319,1.9514,-0.0891,-0.0759,-0.0428
QRBI01000120.1,218001,220000,218892,198,61,1.6875,0.5764,0.4908,0.2703,0.178
QRBI01000120.1,258001,260000,258927,200,57,1.5556,2.2639,-0.1855,-0.1689,-0.1023
QRBI01000120.1,262001,264000,263096,159,58,1.1551,2.7245,-0.4045,-0.4248,-0.1877
QRBI01000120.1,264001,266000,265195,164,58,2.5741,1.713,0.2009,0.1467,0.1046
QRBI01000120.1,290001,292000,290958,200,53,0.7755,1.0532,-0.1519,-0.0733,-0.0456
QRBI01000120.1,292001,294000,293002,239,90,4.1528,2.4583,0.2563,0.156,0.1245
QRBI01000120.1,294001,296000,294907,159,53,1.9815,1.5648,0.1175,0.1296,0.0655
QRBI01000120.1,296001,298000,296949,175,64,1.9329,2.4259,-0.1131,-0.1417,-0.0537
