CHROM	BIN_START	N_SNPS	TajimaD
QRBI01000060.1	0	6	-1.18914
QRBI01000120.1	0	4302	-1.04643
QRBI01000120.1	100000	4413	-1.10055
QRBI01000120.1	200000	4409	-0.918257
QRBI01000120.1	300000	4003	-1.05626
QRBI01000120.1	400000	4058	-1.12433
QRBI01000120.1	500000	3924	-1.01621
QRBI01000120.1	600000	3832	-0.834745
QRBI01000120.1	700000	3666	-0.856173
QRBI01000120.1	800000	3464	-1.08756
QRBI01000120.1	900000	4036	-1.14911
QRBI01000120.1	1000000	4143	-1.1564
QRBI01000120.1	1100000	2692	-1.15991
QRBI01000120.1	1200000	3781	-1.15951
QRBI01000120.1	1300000	3443	-1.14857
QRBI01000120.1	1400000	3539	-1.22945
QRBI01000120.1	1500000	4089	-1.31297
QRBI01000120.1	1600000	3669	-1.09261
QRBI01000120.1	1700000	3589	-1.11039
QRBI01000120.1	1800000	3782	-1.43278
QRBI01000120.1	1900000	3359	-1.1185
QRBI01000120.1	2000000	3733	-1.03007
QRBI01000120.1	2100000	3675	-1.12133
QRBI01000120.1	2200000	3848	-1.29533
QRBI01000120.1	2300000	3948	-1.17217
QRBI01000120.1	2400000	3955	-1.40613
QRBI01000120.1	2500000	3644	-1.1478
QRBI01000120.1	2600000	4146	-1.16631
QRBI01000120.1	2700000	3577	-1.13638
QRBI01000120.1	2800000	3624	-1.07715
QRBI01000120.1	2900000	3778	-0.926444
QRBI01000120.1	3000000	4347	-1.19229
QRBI01000120.1	3100000	4272	-0.942743
QRBI01000120.1	3200000	3867	-1.29005
QRBI01000120.1	3300000	3474	-1.22812
QRBI01000120.1	3400000	3891	-1.15299
QRBI01000120.1	3500000	3878	-1.35625
QRBI01000120.1	3600000	3615	-1.32147
QRBI01000120.1	3700000	3828	-1.26286
QRBI01000120.1	3800000	4339	-1.16159
QRBI01000120.1	3900000	4061	-1.07049
QRBI01000120.1	4000000	3877	-1.04543
QRBI01000120.1	4100000	4169	-1.1902
QRBI01000120.1	4200000	3417	-1.30496
QRBI01000120.1	4300000	2971	-1.39864
QRBI01000120.1	4400000	3500	-1.38484
QRBI01000120.1	4500000	3741	-1.24168
QRBI01000120.1	4600000	4148	-1.22571
QRBI01000120.1	4700000	3282	-1.16398
QRBI01000120.1	4800000	3575	-1.04746
QRBI01000120.1	4900000	4311	-1.06813
QRBI01000120.1	5000000	4106	-0.939944
QRBI01000120.1	5100000	4085	-1.2313
QRBI01000120.1	5200000	4104	-1.28078
QRBI01000120.1	5300000	4377	-1.27326
QRBI01000120.1	5400000	4073	-1.12869
QRBI01000120.1	5500000	4141	-0.993937
QRBI01000120.1	5600000	3657	-0.904311
QRBI01000120.1	5700000	3546	-1.27986
QRBI01000120.1	5800000	3689	-1.23969
QRBI01000120.1	5900000	3469	-1.16764
QRBI01000120.1	6000000	3221	-1.26324
QRBI01000120.1	6100000	2671	-1.54072
QRBI01000120.1	6200000	3732	-1.30964
QRBI01000120.1	6300000	4099	-1.33192
QRBI01000120.1	6400000	4059	-1.2432
QRBI01000120.1	6500000	3608	-1.24198
QRBI01000120.1	6600000	3989	-1.31402
QRBI01000120.1	6700000	3318	-1.08239
QRBI01000120.1	6800000	3820	-1.23406
QRBI01000120.1	6900000	4414	-1.05981
QRBI01000120.1	7000000	3919	-1.17806
QRBI01000120.1	7100000	3166	-1.15481
QRBI01000120.1	7200000	2691	-0.921408
QRBI01000120.1	7300000	2506	-1.05509
QRBI01000120.1	7400000	2826	-1.15087
QRBI01000120.1	7500000	3281	-1.09299
QRBI01000120.1	7600000	3308	-1.31051
QRBI01000120.1	7700000	2714	-1.07383
QRBI01000120.1	7800000	3248	-1.08258
QRBI01000120.1	7900000	2658	-1.14668
QRBI01000120.1	8000000	2805	-1.30128
QRBI01000120.1	8100000	2643	-1.24236
QRBI01000120.1	8200000	2787	-1.29095
QRBI01000120.1	8300000	2784	-1.2676
QRBI01000120.1	8400000	3032	-0.992996
QRBI01000120.1	8500000	2683	-1.09297
QRBI01000120.1	8600000	2512	-1.12995
QRBI01000120.1	8700000	2776	-1.19245
QRBI01000120.1	8800000	2604	-1.06582
QRBI01000120.1	8900000	2609	-1.05953
QRBI01000120.1	9000000	3219	-1.31851
QRBI01000120.1	9100000	3169	-1.36684
QRBI01000120.1	9200000	3481	-1.11198
QRBI01000120.1	9300000	2901	-1.16772
QRBI01000120.1	9400000	2765	-1.08606
QRBI01000120.1	9500000	3333	-1.33038
QRBI01000120.1	9600000	2969	-1.38827
QRBI01000120.1	9700000	2883	-1.43595
QRBI01000120.1	9800000	2495	-1.24878
QRBI01000120.1	9900000	2564	-1.30692
QRBI01000120.1	10000000	2271	-1.38098
QRBI01000120.1	10100000	2957	-1.05288
QRBI01000120.1	10200000	2472	-1.22431
QRBI01000120.1	10300000	3035	-1.20304
QRBI01000120.1	10400000	2425	-1.17664
QRBI01000120.1	10500000	2653	-1.21158
QRBI01000120.1	10600000	2650	-1.03497
QRBI01000120.1	10700000	2541	-1.12129
QRBI01000120.1	10800000	2459	-1.17632
QRBI01000120.1	10900000	2869	-1.1387
QRBI01000120.1	11000000	2702	-1.1122
QRBI01000120.1	11100000	2363	-1.31264
QRBI01000120.1	11200000	2976	-1.4165
QRBI01000120.1	11300000	2877	-1.19088
QRBI01000120.1	11400000	2766	-1.28051
QRBI01000120.1	11500000	2463	-1.14212
QRBI01000120.1	11600000	3133	-1.07631
QRBI01000120.1	11700000	3306	-1.29379
QRBI01000120.1	11800000	3087	-1.10019
QRBI01000120.1	11900000	2829	-1.38146
QRBI01000120.1	12000000	3703	-1.15659
QRBI01000120.1	12100000	3346	-1.54293
QRBI01000120.1	12200000	3287	-1.36857
QRBI01000120.1	12300000	3010	-1.33152
QRBI01000120.1	12400000	3194	-1.32074
QRBI01000120.1	12500000	3669	-1.18895
QRBI01000120.1	12600000	3239	-1.24681
QRBI01000120.1	12700000	3147	-1.30252
QRBI01000120.1	12800000	3231	-1.21848
QRBI01000120.1	12900000	2853	-1.29079
QRBI01000120.1	13000000	2855	-1.22395
QRBI01000120.1	13100000	3005	-1.33236
QRBI01000120.1	13200000	2448	-1.50175
QRBI01000120.1	13300000	2905	-1.43843
QRBI01000120.1	13400000	2719	-1.41171
QRBI01000120.1	13500000	2720	-1.19036
QRBI01000120.1	13600000	3227	-1.1837
QRBI01000120.1	13700000	3520	-1.08613
QRBI01000120.1	13800000	3353	-0.966442
QRBI01000120.1	13900000	3884	-0.976832
QRBI01000120.1	14000000	3618	-0.975317
QRBI01000120.1	14100000	2952	-1.38614
QRBI01000120.1	14200000	2774	-1.17759
QRBI01000120.1	14300000	3031	-1.10832
QRBI01000120.1	14400000	2666	-1.10033
QRBI01000120.1	14500000	2739	-1.45107
QRBI01000120.1	14600000	2850	-1.18627
QRBI01000120.1	14700000	2716	-1.34833
QRBI01000120.1	14800000	2709	-1.21019
QRBI01000120.1	14900000	3123	-1.35483
QRBI01000120.1	15000000	3332	-1.34721
QRBI01000120.1	15100000	3010	-1.14325
QRBI01000120.1	15200000	3299	-1.15554
QRBI01000120.1	15300000	3555	-1.24232
QRBI01000120.1	15400000	2714	-1.2212
QRBI01000120.1	15500000	3132	-1.24966
QRBI01000120.1	15600000	2083	-1.34937
QRBI01000120.1	15700000	3099	-1.21404
QRBI01000120.1	15800000	3291	-1.0317
QRBI01000120.1	15900000	3342	-1.20076
