CHROM	SCAFF	BIN_START	BIN_END	pbs
chr1	QRBI01000060.1	1	100000	0.04738225
chr1	QRBI01000120.1	1	100000	0.0062032
chr1	QRBI01000120.1	100001	200000	0.00632395
chr1	QRBI01000120.1	200001	300000	0.001630075
chr1	QRBI01000120.1	300001	400000	0.00182442
chr1	QRBI01000120.1	400001	500000	-9.65050000000002e-05
chr1	QRBI01000120.1	500001	600000	0.01304425
chr1	QRBI01000120.1	600001	700000	0.004581895
chr1	QRBI01000120.1	700001	800000	-0.000885344999999999
chr1	QRBI01000120.1	800001	900000	0.002912465
chr1	QRBI01000120.1	900001	1000000	-0.000312850000000001
chr1	QRBI01000120.1	1000001	1100000	0.01112455
chr1	QRBI01000120.1	1100001	1200000	0.00391676
chr1	QRBI01000120.1	1200001	1300000	0.00432198
chr1	QRBI01000120.1	1300001	1400000	0.003928415
chr1	QRBI01000120.1	1400001	1500000	-0.000178515000000001
chr1	QRBI01000120.1	1500001	1600000	0.002652555
chr1	QRBI01000120.1	1600001	1700000	-0.002472105
chr1	QRBI01000120.1	1700001	1800000	0.003806605
chr1	QRBI01000120.1	1800001	1900000	0.006245275
chr1	QRBI01000120.1	1900001	2000000	0.00540805
chr1	QRBI01000120.1	2000001	2100000	0.0043506
chr1	QRBI01000120.1	2100001	2200000	0.0073575
chr1	QRBI01000120.1	2200001	2300000	0.00552791
chr1	QRBI01000120.1	2300001	2400000	0.0033654
chr1	QRBI01000120.1	2400001	2500000	0.002856855
chr1	QRBI01000120.1	2500001	2600000	0.002584975
chr1	QRBI01000120.1	2600001	2700000	0.00381065
chr1	QRBI01000120.1	2700001	2800000	0.002518495
chr1	QRBI01000120.1	2800001	2900000	-0.001807005
chr1	QRBI01000120.1	2900001	3000000	0.0048565
chr1	QRBI01000120.1	3000001	3100000	0.000413705
chr1	QRBI01000120.1	3100001	3200000	0.0061318
chr1	QRBI01000120.1	3200001	3300000	0.015512
chr1	QRBI01000120.1	3300001	3400000	0.0050449
chr1	QRBI01000120.1	3400001	3500000	0.0056167
chr1	QRBI01000120.1	3500001	3600000	0.00023666
chr1	QRBI01000120.1	3600001	3700000	0.003618305
chr1	QRBI01000120.1	3700001	3800000	-0.001354845
chr1	QRBI01000120.1	3800001	3900000	0.002314005
chr1	QRBI01000120.1	3900001	4000000	0.00441545
chr1	QRBI01000120.1	4000001	4100000	0.00209733
chr1	QRBI01000120.1	4100001	4200000	0.002166985
chr1	QRBI01000120.1	4200001	4300000	0.00190005
chr1	QRBI01000120.1	4300001	4400000	0.001406565
chr1	QRBI01000120.1	4400001	4500000	0.00351676
chr1	QRBI01000120.1	4500001	4600000	0.00209685
chr1	QRBI01000120.1	4600001	4700000	0.006065085
chr1	QRBI01000120.1	4700001	4800000	-0.000727574999999999
chr1	QRBI01000120.1	4800001	4900000	-0.00483653
chr1	QRBI01000120.1	4900001	5000000	0.001635615
chr1	QRBI01000120.1	5000001	5100000	-0.00243373
chr1	QRBI01000120.1	5100001	5200000	0.00419121
chr1	QRBI01000120.1	5200001	5300000	0.000647574999999999
chr1	QRBI01000120.1	5300001	5400000	0.000886945
chr1	QRBI01000120.1	5400001	5500000	0.000401024999999999
chr1	QRBI01000120.1	5500001	5600000	0.003649625
chr1	QRBI01000120.1	5600001	5700000	5.83100000000007e-05
chr1	QRBI01000120.1	5700001	5800000	0.002857875
chr1	QRBI01000120.1	5800001	5900000	0.00205241
chr1	QRBI01000120.1	5900001	6000000	0.0064154
chr1	QRBI01000120.1	6000001	6100000	0.01041105
chr1	QRBI01000120.1	6100001	6200000	0.0083766
chr1	QRBI01000120.1	6200001	6300000	0.0077721
chr1	QRBI01000120.1	6300001	6400000	0.0068128
chr1	QRBI01000120.1	6400001	6500000	0.005159315
chr1	QRBI01000120.1	6500001	6600000	0.00692925
chr1	QRBI01000120.1	6600001	6700000	0.00821745
chr1	QRBI01000120.1	6700001	6800000	0.00737385
chr1	QRBI01000120.1	6800001	6900000	0.0038849
chr1	QRBI01000120.1	6900001	7000000	0.00418255
chr1	QRBI01000120.1	7000001	7100000	-0.001792585
chr1	QRBI01000120.1	7100001	7200000	0.00278131
chr1	QRBI01000120.1	7200001	7300000	0.003691315
chr1	QRBI01000120.1	7300001	7400000	0.00487036
chr1	QRBI01000120.1	7400001	7500000	0.00040922
chr1	QRBI01000120.1	7500001	7600000	-0.007075185
chr1	QRBI01000120.1	7600001	7700000	-0.000259180000000001
chr1	QRBI01000120.1	7700001	7800000	-0.00327743
chr1	QRBI01000120.1	7800001	7900000	-0.0064354
chr1	QRBI01000120.1	7900001	8000000	0.0052546
chr1	QRBI01000120.1	8000001	8100000	0.0030108
chr1	QRBI01000120.1	8100001	8200000	0.0056185
chr1	QRBI01000120.1	8200001	8300000	0.0163126
chr1	QRBI01000120.1	8300001	8400000	0.00529775
chr1	QRBI01000120.1	8400001	8500000	0.00887985
chr1	QRBI01000120.1	8500001	8600000	0.0035893
chr1	QRBI01000120.1	8600001	8700000	0.0037478
chr1	QRBI01000120.1	8700001	8800000	0.001324775
chr1	QRBI01000120.1	8800001	8900000	0.00176245
chr1	QRBI01000120.1	8900001	9000000	0.00999975
chr1	QRBI01000120.1	9000001	9100000	0.00768068
chr1	QRBI01000120.1	9100001	9200000	0.00248305
chr1	QRBI01000120.1	9200001	9300000	0.00310617
chr1	QRBI01000120.1	9300001	9400000	0.00551725
chr1	QRBI01000120.1	9400001	9500000	-0.0018165
chr1	QRBI01000120.1	9500001	9600000	-0.00707859
chr1	QRBI01000120.1	9600001	9700000	0.00852255
chr1	QRBI01000120.1	9700001	9800000	0.002630065
chr1	QRBI01000120.1	9800001	9900000	0.00742715
chr1	QRBI01000120.1	9900001	10000000	0.001226595
chr1	QRBI01000120.1	10000001	10100000	-0.0194231
chr1	QRBI01000120.1	10100001	10200000	0.00726495
chr1	QRBI01000120.1	10200001	10300000	0.00447305
chr1	QRBI01000120.1	10300001	10400000	-0.00377439
chr1	QRBI01000120.1	10400001	10500000	0.0202666
chr1	QRBI01000120.1	10500001	10600000	0.0060598
chr1	QRBI01000120.1	10600001	10700000	0.0089506
chr1	QRBI01000120.1	10700001	10800000	0.00720615
chr1	QRBI01000120.1	10800001	10900000	0.00090287
chr1	QRBI01000120.1	10900001	11000000	-0.00030005
chr1	QRBI01000120.1	11000001	11100000	0.01424975
chr1	QRBI01000120.1	11100001	11200000	-0.002815885
chr1	QRBI01000120.1	11200001	11300000	0.0071914
chr1	QRBI01000120.1	11300001	11400000	0.00375955
chr1	QRBI01000120.1	11400001	11500000	-0.001837985
chr1	QRBI01000120.1	11500001	11600000	0.0109433
chr1	QRBI01000120.1	11600001	11700000	0.01859505
chr1	QRBI01000120.1	11700001	11800000	0.00813177
chr1	QRBI01000120.1	11800001	11900000	0.00242505
chr1	QRBI01000120.1	11900001	12000000	0.0084981
chr1	QRBI01000120.1	12000001	12100000	-0.002961405
chr1	QRBI01000120.1	12100001	12200000	0.00133473
chr1	QRBI01000120.1	12200001	12300000	0.00242364
chr1	QRBI01000120.1	12300001	12400000	0.00790125
chr1	QRBI01000120.1	12400001	12500000	-0.00177901
chr1	QRBI01000120.1	12500001	12600000	0.00355845
chr1	QRBI01000120.1	12600001	12700000	0.000264654999999999
chr1	QRBI01000120.1	12700001	12800000	-0.00533156
chr1	QRBI01000120.1	12800001	12900000	0.0101204
chr1	QRBI01000120.1	12900001	13000000	-0.00042587
chr1	QRBI01000120.1	13000001	13100000	0.0089871
chr1	QRBI01000120.1	13100001	13200000	0.00829725
chr1	QRBI01000120.1	13200001	13300000	0.01067665
chr1	QRBI01000120.1	13300001	13400000	0.00386925
chr1	QRBI01000120.1	13400001	13500000	0.01013022
chr1	QRBI01000120.1	13500001	13600000	0.00814065
chr1	QRBI01000120.1	13600001	13700000	0.0061381
chr1	QRBI01000120.1	13700001	13800000	-0.000261800000000001
chr1	QRBI01000120.1	13800001	13900000	-0.00301896
chr1	QRBI01000120.1	13900001	14000000	0.00138182
chr1	QRBI01000120.1	14000001	14100000	0.006486
chr1	QRBI01000120.1	14100001	14200000	-0.00271639
chr1	QRBI01000120.1	14200001	14300000	0.00582715
chr1	QRBI01000120.1	14300001	14400000	0.002910695
chr1	QRBI01000120.1	14400001	14500000	0.00127115
chr1	QRBI01000120.1	14500001	14600000	0.0033532
chr1	QRBI01000120.1	14600001	14700000	0.0103167
chr1	QRBI01000120.1	14700001	14800000	0.0061809
chr1	QRBI01000120.1	14800001	14900000	0.0053262
chr1	QRBI01000120.1	14900001	15000000	0.00737505
chr1	QRBI01000120.1	15000001	15100000	-5.75449999999991e-05
chr1	QRBI01000120.1	15100001	15200000	0.00192892
chr1	QRBI01000120.1	15200001	15300000	0.00434752
chr1	QRBI01000120.1	15300001	15400000	-0.000841155000000001
chr1	QRBI01000120.1	15400001	15500000	0.0070417
chr1	QRBI01000120.1	15500001	15600000	0.0094056
chr1	QRBI01000120.1	15600001	15700000	0.00212169
chr1	QRBI01000120.1	15700001	15800000	0.00455935
chr1	QRBI01000120.1	15800001	15900000	0.0102566
chr1	QRBI01000120.1	15900001	16000000	0.00188905
chr1	QRBI01000120.1	16000001	16100000	0.0053867
chr1	QRBI01000120.1	16100001	16200000	0.001812525
chr1	QRBI01000120.1	16200001	16300000	-0.0039154
chr1	QRBI01000120.1	16300001	16400000	0.00125802
chr1	QRBI01000120.1	16400001	16500000	-0.007031065
chr1	QRBI01000120.1	16500001	16600000	-0.003219745
chr1	QRBI01000120.1	16600001	16700000	0.001340775
chr1	QRBI01000120.1	16700001	16800000	0.00337599
chr1	QRBI01000120.1	16800001	16900000	0.00928015
chr1	QRBI01000120.1	16900001	17000000	0.00364634
chr1	QRBI01000120.1	17000001	17100000	-0.001396085
chr1	QRBI01000120.1	17100001	17200000	-0.0042680235
chr1	QRBI01000120.1	17200001	17300000	0.00597175
chr1	QRBI01000120.1	17300001	17400000	0.00390579
chr1	QRBI01000120.1	17400001	17500000	-0.00159725
chr1	QRBI01000120.1	17500001	17600000	0.02771705
chr1	QRBI01000120.1	17600001	17700000	0.0128303
chr1	QRBI01000120.1	17700001	17800000	0.0111725
chr1	QRBI01000120.1	17800001	17900000	0.00432755
chr1	QRBI01000120.1	17900001	18000000	0.00442684
chr1	QRBI01000120.1	18000001	18100000	0.00169653
chr1	QRBI01000120.1	18100001	18200000	-0.00063033
chr1	QRBI01000120.1	18200001	18300000	0.002170955
chr1	QRBI01000120.1	18300001	18400000	-0.000599180000000001
chr1	QRBI01000120.1	18400001	18500000	0.000915849999999999
chr1	QRBI01000120.1	18500001	18600000	0.0043601
