CHROM	BIN_START	N_SNPS	TajimaD
QRBI01000060.1	0	3	-0.256228
QRBI01000120.1	0	2251	-0.288779
QRBI01000120.1	100000	2400	-0.531247
QRBI01000120.1	200000	2427	-0.382466
QRBI01000120.1	300000	2169	-0.546746
QRBI01000120.1	400000	2175	-0.522885
QRBI01000120.1	500000	2013	-0.292761
QRBI01000120.1	600000	2139	-0.269463
QRBI01000120.1	700000	2068	-0.434753
QRBI01000120.1	800000	2003	-0.686818
QRBI01000120.1	900000	2100	-0.619228
QRBI01000120.1	1000000	2210	-0.582673
QRBI01000120.1	1100000	1470	-0.608979
QRBI01000120.1	1200000	2151	-0.725529
QRBI01000120.1	1300000	1886	-0.794372
QRBI01000120.1	1400000	1995	-0.75763
QRBI01000120.1	1500000	2123	-0.756229
QRBI01000120.1	1600000	1983	-0.578282
QRBI01000120.1	1700000	2040	-0.788163
QRBI01000120.1	1800000	1985	-0.842743
QRBI01000120.1	1900000	1929	-0.724492
QRBI01000120.1	2000000	2173	-0.580071
QRBI01000120.1	2100000	2144	-0.645266
QRBI01000120.1	2200000	2026	-0.707304
QRBI01000120.1	2300000	2122	-0.672383
QRBI01000120.1	2400000	2090	-0.868851
QRBI01000120.1	2500000	1891	-0.473042
QRBI01000120.1	2600000	2157	-0.447137
QRBI01000120.1	2700000	1914	-0.575248
QRBI01000120.1	2800000	2042	-0.662989
QRBI01000120.1	2900000	2139	-0.406831
QRBI01000120.1	3000000	2354	-0.642207
QRBI01000120.1	3100000	2413	-0.4103
QRBI01000120.1	3200000	2061	-0.613854
QRBI01000120.1	3300000	1844	-0.608061
QRBI01000120.1	3400000	2052	-0.546012
QRBI01000120.1	3500000	2005	-0.808234
QRBI01000120.1	3600000	1929	-0.787074
QRBI01000120.1	3700000	2031	-0.651038
QRBI01000120.1	3800000	2319	-0.627529
QRBI01000120.1	3900000	2392	-0.6212
QRBI01000120.1	4000000	2134	-0.538547
QRBI01000120.1	4100000	2260	-0.634746
QRBI01000120.1	4200000	1743	-0.688464
QRBI01000120.1	4300000	1485	-0.736724
QRBI01000120.1	4400000	1749	-0.658868
QRBI01000120.1	4500000	1906	-0.607095
QRBI01000120.1	4600000	2184	-0.551866
QRBI01000120.1	4700000	1780	-0.543732
QRBI01000120.1	4800000	2024	-0.529878
QRBI01000120.1	4900000	2148	-0.278761
QRBI01000120.1	5000000	2234	-0.370319
QRBI01000120.1	5100000	2280	-0.644198
QRBI01000120.1	5200000	2112	-0.665143
QRBI01000120.1	5300000	2299	-0.61483
QRBI01000120.1	5400000	2200	-0.508414
QRBI01000120.1	5500000	2364	-0.462639
QRBI01000120.1	5600000	2223	-0.546504
QRBI01000120.1	5700000	1887	-0.777723
QRBI01000120.1	5800000	1899	-0.597149
QRBI01000120.1	5900000	1814	-0.566874
QRBI01000120.1	6000000	1704	-0.653609
QRBI01000120.1	6100000	1323	-1.03979
QRBI01000120.1	6200000	2020	-0.776074
QRBI01000120.1	6300000	2092	-0.700606
QRBI01000120.1	6400000	2288	-0.760658
QRBI01000120.1	6500000	2036	-0.864736
QRBI01000120.1	6600000	2195	-0.810652
QRBI01000120.1	6700000	1893	-0.730671
QRBI01000120.1	6800000	2028	-0.647584
QRBI01000120.1	6900000	2512	-0.585832
QRBI01000120.1	7000000	2207	-0.659496
QRBI01000120.1	7100000	1743	-0.691462
QRBI01000120.1	7200000	1530	-0.47791
QRBI01000120.1	7300000	1487	-0.656137
QRBI01000120.1	7400000	1591	-0.63827
QRBI01000120.1	7500000	1788	-0.574735
QRBI01000120.1	7600000	1643	-0.789343
QRBI01000120.1	7700000	1538	-0.627412
QRBI01000120.1	7800000	1917	-0.64547
QRBI01000120.1	7900000	1462	-0.67327
QRBI01000120.1	8000000	1556	-0.830755
QRBI01000120.1	8100000	1493	-0.844169
QRBI01000120.1	8200000	1420	-0.705881
QRBI01000120.1	8300000	1504	-0.65482
QRBI01000120.1	8400000	1654	-0.507107
QRBI01000120.1	8500000	1421	-0.456401
QRBI01000120.1	8600000	1379	-0.698221
QRBI01000120.1	8700000	1547	-0.642934
QRBI01000120.1	8800000	1447	-0.589119
QRBI01000120.1	8900000	1458	-0.531717
QRBI01000120.1	9000000	1623	-0.790855
QRBI01000120.1	9100000	1534	-0.696368
QRBI01000120.1	9200000	1966	-0.700917
QRBI01000120.1	9300000	1443	-0.43098
QRBI01000120.1	9400000	1531	-0.482311
QRBI01000120.1	9500000	1642	-0.65096
QRBI01000120.1	9600000	1374	-0.540673
QRBI01000120.1	9700000	1303	-0.606179
QRBI01000120.1	9800000	1315	-0.551744
QRBI01000120.1	9900000	1267	-0.541532
QRBI01000120.1	10000000	1117	-0.651694
QRBI01000120.1	10100000	1561	-0.474429
QRBI01000120.1	10200000	1286	-0.723359
QRBI01000120.1	10300000	1598	-0.560321
QRBI01000120.1	10400000	1243	-0.678691
QRBI01000120.1	10500000	1364	-0.609134
QRBI01000120.1	10600000	1466	-0.449229
QRBI01000120.1	10700000	1455	-0.711407
QRBI01000120.1	10800000	1423	-0.732104
QRBI01000120.1	10900000	1566	-0.576803
QRBI01000120.1	11000000	1444	-0.442767
QRBI01000120.1	11100000	1330	-0.85475
QRBI01000120.1	11200000	1653	-0.898903
QRBI01000120.1	11300000	1679	-0.948373
QRBI01000120.1	11400000	1501	-0.854089
QRBI01000120.1	11500000	1476	-0.700984
QRBI01000120.1	11600000	1745	-0.512984
QRBI01000120.1	11700000	1831	-0.901842
QRBI01000120.1	11800000	1754	-0.639622
QRBI01000120.1	11900000	1485	-0.853162
QRBI01000120.1	12000000	1984	-0.668554
QRBI01000120.1	12100000	1580	-0.779084
QRBI01000120.1	12200000	1669	-0.726243
QRBI01000120.1	12300000	1470	-0.502698
QRBI01000120.1	12400000	1597	-0.661848
QRBI01000120.1	12500000	1917	-0.553739
QRBI01000120.1	12600000	1526	-0.445329
QRBI01000120.1	12700000	1625	-0.695248
QRBI01000120.1	12800000	1613	-0.671553
QRBI01000120.1	12900000	1434	-0.510618
QRBI01000120.1	13000000	1503	-0.526496
QRBI01000120.1	13100000	1559	-0.720234
QRBI01000120.1	13200000	1109	-0.747333
QRBI01000120.1	13300000	1460	-0.723608
QRBI01000120.1	13400000	1431	-0.771337
QRBI01000120.1	13500000	1447	-0.681895
QRBI01000120.1	13600000	1791	-0.652499
QRBI01000120.1	13700000	1930	-0.566057
QRBI01000120.1	13800000	1913	-0.463709
QRBI01000120.1	13900000	2120	-0.507255
QRBI01000120.1	14000000	1998	-0.419545
QRBI01000120.1	14100000	1564	-0.884445
QRBI01000120.1	14200000	1454	-0.556094
QRBI01000120.1	14300000	1643	-0.517457
QRBI01000120.1	14400000	1398	-0.388178
QRBI01000120.1	14500000	1460	-0.824589
QRBI01000120.1	14600000	1546	-0.615628
QRBI01000120.1	14700000	1492	-0.921859
QRBI01000120.1	14800000	1507	-0.736824
QRBI01000120.1	14900000	1633	-0.751095
QRBI01000120.1	15000000	1749	-0.703746
QRBI01000120.1	15100000	1710	-0.536084
QRBI01000120.1	15200000	1661	-0.460205
QRBI01000120.1	15300000	1800	-0.563269
QRBI01000120.1	15400000	1484	-0.792044
QRBI01000120.1	15500000	1677	-0.664386
QRBI01000120.1	15600000	1071	-0.716402
QRBI01000120.1	15700000	1610	-0.490221
QRBI01000120.1	15800000	1809	-0.481755
QRBI01000120.1	15900000	1740	-0.599518
QRBI01000120.1	16000000	1916	-0.556555
QRBI01000120.1	16100000	1903	-0.448535
QRBI01000120.1	16200000	1821	-0.630214
QRBI01000120.1	16300000	1729	-0.677184
QRBI01000120.1	16400000	1501	-0.503503
QRBI01000120.1	16500000	1644	-0.794149
QRBI01000120.1	16600000	1710	-0.821832
QRBI01000120.1	16700000	1607	-0.683274
QRBI01000120.1	16800000	2041	-0.588725
QRBI01000120.1	16900000	1870	-0.602648
QRBI01000120.1	17000000	2081	-0.638131
QRBI01000120.1	17100000	1271	-0.537064
QRBI01000120.1	17200000	1236	-0.541468
QRBI01000120.1	17300000	1385	-0.681777
QRBI01000120.1	17400000	1222	-0.815745
QRBI01000120.1	17500000	1299	-0.862834
QRBI01000120.1	17600000	1588	-0.896571
QRBI01000120.1	17700000	1511	-0.801189
QRBI01000120.1	17800000	1917	-0.69534
QRBI01000120.1	17900000	1880	-0.865556
QRBI01000120.1	18000000	1556	-0.732309
QRBI01000120.1	18100000	1727	-0.870365
QRBI01000120.1	18200000	1614	-0.684126
QRBI01000120.1	18300000	1582	-0.572529
QRBI01000120.1	18400000	1671	-0.695422
QRBI01000120.1	18500000	1626	-0.847314
QRBI01000120.1	18600000	1567	-0.775783
QRBI01000120.1	18700000	1522	-0.937032
QRBI01000120.1	18800000	1778	-0.777331
QRBI01000120.1	18900000	1839	-0.69206
QRBI01000120.1	19000000	1278	-0.838481
QRBI01000120.1	19100000	1305	-0.839089
QRBI01000120.1	19200000	1406	-0.596274
QRBI01000120.1	19300000	1624	-0.531494
QRBI01000120.1	19400000	869	-0.755329
QRBI01000120.1	19500000	340	-0.629224
QRBI01000120.1	19600000	1417	-0.685326
QRBI01000120.1	19700000	1393	-0.69173
QRBI01000120.1	19800000	1311	-0.762413
QRBI01000120.1	19900000	1398	-0.626536
QRBI01000120.1	20000000	1382	-0.872176
QRBI01000120.1	20100000	1136	-0.734994
QRBI01000120.1	20200000	954	-1.00551
QRBI01000120.1	20300000	754	-0.933303
QRBI01000120.1	20400000	993	-0.869459
QRBI01000120.1	20500000	1121	-0.666987
QRBI01000120.1	20600000	1049	-0.500724
QRBI01000120.1	20700000	1058	-0.607841
QRBI01000120.1	20800000	924	-0.395071
QRBI01000120.1	20900000	1172	-0.471277
QRBI01000120.1	21000000	1408	-0.72106
QRBI01000120.1	21100000	974	-0.666431
QRBI01000120.1	21200000	999	-0.32083
QRBI01000120.1	21300000	1262	-0.640923
QRBI01000120.1	21400000	1166	-0.791647
QRBI01000120.1	21500000	1226	-0.611196
QRBI01000120.1	21600000	1123	-0.609744
QRBI01000120.1	21700000	1161	-0.358336
QRBI01000120.1	21800000	1074	-0.470807
QRBI01000120.1	21900000	1535	-0.49114
QRBI01000120.1	22000000	1255	-0.698761
QRBI01000120.1	22100000	1446	-0.684115
QRBI01000120.1	22200000	1322	-0.791718
QRBI01000120.1	22300000	1104	-0.650703
QRBI01000120.1	22400000	1463	-0.609871
QRBI01000120.1	22500000	1601	-0.929915
QRBI01000120.1	22600000	1659	-0.535209
QRBI01000120.1	22700000	1527	-0.548403
QRBI01000120.1	22800000	1325	-0.612038
QRBI01000120.1	22900000	1271	-1.00471
QRBI01000120.1	23000000	1312	-0.86247
QRBI01000120.1	23100000	1423	-0.72059
QRBI01000120.1	23200000	1609	-0.832491
QRBI01000120.1	23300000	1837	-0.701594
QRBI01000120.1	23400000	1450	-0.932623
QRBI01000120.1	23500000	1844	-0.735691
QRBI01000120.1	23600000	1910	-0.663789
QRBI01000120.1	23700000	1511	-0.814094
QRBI01000120.1	23800000	1826	-0.697381
QRBI01000120.1	23900000	1838	-0.610548
QRBI01000120.1	24000000	1404	-0.589541
QRBI01000120.1	24100000	1291	-0.771237
QRBI01000120.1	24200000	1156	-0.805632
QRBI01000120.1	24300000	920	-0.633985
QRBI01000120.1	24400000	1249	-0.736018
QRBI01000120.1	24500000	1624	-0.616736
QRBI01000120.1	24600000	1725	-0.64157
QRBI01000120.1	24700000	1730	-0.507715
QRBI01000120.1	24800000	1838	-0.562795
QRBI01000120.1	24900000	1211	-0.582921
QRBI01000120.1	25000000	1558	-0.572424
