CHROM	SCAFF	BIN_START	BIN_END	pbs
chr1	QRBI01000120.1	1	100000	0.016134615
chr1	QRBI01000120.1	100001	200000	0.026673345
chr1	QRBI01000120.1	200001	300000	0.017173385
chr1	QRBI01000120.1	300001	400000	0.020813035
chr1	QRBI01000120.1	400001	500000	0.019463115
chr1	QRBI01000120.1	500001	600000	0.030979575
chr1	QRBI01000120.1	600001	700000	0.019156745
chr1	QRBI01000120.1	700001	800000	0.01680317
chr1	QRBI01000120.1	800001	900000	0.01233095
chr1	QRBI01000120.1	900001	1000000	0.029479335
chr1	QRBI01000120.1	1000001	1100000	0.01743899
chr1	QRBI01000120.1	1100001	1200000	0.0087261115
chr1	QRBI01000120.1	1200001	1300000	0.01765725
chr1	QRBI01000120.1	1300001	1400000	0.008703155
chr1	QRBI01000120.1	1400001	1500000	0.00603563
chr1	QRBI01000120.1	1500001	1600000	0.016746585
chr1	QRBI01000120.1	1600001	1700000	0.01296897
chr1	QRBI01000120.1	1700001	1800000	0.015327445
chr1	QRBI01000120.1	1800001	1900000	0.012956735
chr1	QRBI01000120.1	1900001	2000000	0.014056285
chr1	QRBI01000120.1	2000001	2100000	0.015204315
chr1	QRBI01000120.1	2100001	2200000	0.014721105
chr1	QRBI01000120.1	2200001	2300000	0.022320255
chr1	QRBI01000120.1	2300001	2400000	0.01147886
chr1	QRBI01000120.1	2400001	2500000	0.01766939
chr1	QRBI01000120.1	2500001	2600000	0.018642715
chr1	QRBI01000120.1	2600001	2700000	0.0146902
chr1	QRBI01000120.1	2700001	2800000	0.022581165
chr1	QRBI01000120.1	2800001	2900000	0.02219665
chr1	QRBI01000120.1	2900001	3000000	0.02908725
chr1	QRBI01000120.1	3000001	3100000	0.01774551
chr1	QRBI01000120.1	3100001	3200000	0.026202225
chr1	QRBI01000120.1	3200001	3300000	0.02424315
chr1	QRBI01000120.1	3300001	3400000	0.023421135
chr1	QRBI01000120.1	3400001	3500000	0.026609595
chr1	QRBI01000120.1	3500001	3600000	0.02665885
chr1	QRBI01000120.1	3600001	3700000	0.01538
chr1	QRBI01000120.1	3700001	3800000	0.011659565
chr1	QRBI01000120.1	3800001	3900000	0.01170466
chr1	QRBI01000120.1	3900001	4000000	0.0183287
chr1	QRBI01000120.1	4000001	4100000	0.02207035
chr1	QRBI01000120.1	4100001	4200000	0.02335768
chr1	QRBI01000120.1	4200001	4300000	0.016604425
chr1	QRBI01000120.1	4300001	4400000	0.0311612
chr1	QRBI01000120.1	4400001	4500000	0.02990865
chr1	QRBI01000120.1	4500001	4600000	0.020880825
chr1	QRBI01000120.1	4600001	4700000	0.0222294
chr1	QRBI01000120.1	4700001	4800000	0.02470044535
chr1	QRBI01000120.1	4800001	4900000	0.02543845
chr1	QRBI01000120.1	4900001	5000000	0.04193849
chr1	QRBI01000120.1	5000001	5100000	0.03127
chr1	QRBI01000120.1	5100001	5200000	0.01214274
chr1	QRBI01000120.1	5200001	5300000	0.017642825
chr1	QRBI01000120.1	5300001	5400000	0.01780794
chr1	QRBI01000120.1	5400001	5500000	0.027000905
chr1	QRBI01000120.1	5500001	5600000	0.02397636
chr1	QRBI01000120.1	5600001	5700000	0.012560665
chr1	QRBI01000120.1	5700001	5800000	0.01771205
chr1	QRBI01000120.1	5800001	5900000	0.021650345
chr1	QRBI01000120.1	5900001	6000000	0.02506625
chr1	QRBI01000120.1	6000001	6100000	0.0255016
chr1	QRBI01000120.1	6100001	6200000	0.006035825
chr1	QRBI01000120.1	6200001	6300000	0.014455405
chr1	QRBI01000120.1	6300001	6400000	0.01747827
chr1	QRBI01000120.1	6400001	6500000	0.01859652
chr1	QRBI01000120.1	6500001	6600000	0.00258933
chr1	QRBI01000120.1	6600001	6700000	0.0189944
chr1	QRBI01000120.1	6700001	6800000	0.0132628385
chr1	QRBI01000120.1	6800001	6900000	0.01181695
chr1	QRBI01000120.1	6900001	7000000	0.00924958
chr1	QRBI01000120.1	7000001	7100000	0.011116835
chr1	QRBI01000120.1	7100001	7200000	0.0094017
chr1	QRBI01000120.1	7200001	7300000	0.01234582
chr1	QRBI01000120.1	7300001	7400000	0.01550585
chr1	QRBI01000120.1	7400001	7500000	0.02172823
chr1	QRBI01000120.1	7500001	7600000	0.0205563
chr1	QRBI01000120.1	7600001	7700000	0.023112365
chr1	QRBI01000120.1	7700001	7800000	0.0066071
chr1	QRBI01000120.1	7800001	7900000	0.011280155
chr1	QRBI01000120.1	7900001	8000000	0.014185115
chr1	QRBI01000120.1	8000001	8100000	0.01127666
chr1	QRBI01000120.1	8100001	8200000	0.01713289
chr1	QRBI01000120.1	8200001	8300000	0.0104536
chr1	QRBI01000120.1	8300001	8400000	0.02355945
chr1	QRBI01000120.1	8400001	8500000	0.01672352
chr1	QRBI01000120.1	8500001	8600000	0.010759875
chr1	QRBI01000120.1	8600001	8700000	0.010574585
chr1	QRBI01000120.1	8700001	8800000	0.0140653
chr1	QRBI01000120.1	8800001	8900000	0.014812655
chr1	QRBI01000120.1	8900001	9000000	0.022795025
chr1	QRBI01000120.1	9000001	9100000	0.012949125
chr1	QRBI01000120.1	9100001	9200000	0.02902472
chr1	QRBI01000120.1	9200001	9300000	0.012516575
chr1	QRBI01000120.1	9300001	9400000	0.0250348
chr1	QRBI01000120.1	9400001	9500000	0.02198405
chr1	QRBI01000120.1	9500001	9600000	0.01483507
chr1	QRBI01000120.1	9600001	9700000	0.03372305
chr1	QRBI01000120.1	9700001	9800000	0.019033795
chr1	QRBI01000120.1	9800001	9900000	0.02958555
chr1	QRBI01000120.1	9900001	10000000	0.028092623
chr1	QRBI01000120.1	10000001	10100000	0.027489725
chr1	QRBI01000120.1	10100001	10200000	0.02202865
chr1	QRBI01000120.1	10200001	10300000	0.0325995
chr1	QRBI01000120.1	10300001	10400000	0.0211987
chr1	QRBI01000120.1	10400001	10500000	0.02170155
