CHROM	SCAFF	BIN_START	BIN_END	pbs
chr1	QRBI01000060.1	1	100000	0.1969388
chr1	QRBI01000120.1	1	100000	0.01297478
chr1	QRBI01000120.1	100001	200000	0.01434195
chr1	QRBI01000120.1	200001	300000	0.012442755
chr1	QRBI01000120.1	300001	400000	0.01032433
chr1	QRBI01000120.1	400001	500000	0.01154315
chr1	QRBI01000120.1	500001	600000	0.012332395
chr1	QRBI01000120.1	600001	700000	0.011993225
chr1	QRBI01000120.1	700001	800000	0.013384585
chr1	QRBI01000120.1	800001	900000	0.0148486
chr1	QRBI01000120.1	900001	1000000	0.00762105
chr1	QRBI01000120.1	1000001	1100000	0.009650075
chr1	QRBI01000120.1	1100001	1200000	0.00934654
chr1	QRBI01000120.1	1200001	1300000	0.018057075
chr1	QRBI01000120.1	1300001	1400000	0.0145315
chr1	QRBI01000120.1	1400001	1500000	0.0126914
chr1	QRBI01000120.1	1500001	1600000	0.013412365
chr1	QRBI01000120.1	1600001	1700000	0.01515309
chr1	QRBI01000120.1	1700001	1800000	0.0117597
chr1	QRBI01000120.1	1800001	1900000	0.013918685
chr1	QRBI01000120.1	1900001	2000000	0.0139121
chr1	QRBI01000120.1	2000001	2100000	0.0144231
chr1	QRBI01000120.1	2100001	2200000	0.01701789
chr1	QRBI01000120.1	2200001	2300000	0.01163829
chr1	QRBI01000120.1	2300001	2400000	0.01899435
chr1	QRBI01000120.1	2400001	2500000	0.0127312
chr1	QRBI01000120.1	2500001	2600000	0.012127155
chr1	QRBI01000120.1	2600001	2700000	0.013675475
chr1	QRBI01000120.1	2700001	2800000	0.01831165
chr1	QRBI01000120.1	2800001	2900000	0.01621615
chr1	QRBI01000120.1	2900001	3000000	0.036127805
chr1	QRBI01000120.1	3000001	3100000	0.01398372
chr1	QRBI01000120.1	3100001	3200000	0.008773005
chr1	QRBI01000120.1	3200001	3300000	0.013371
chr1	QRBI01000120.1	3300001	3400000	0.01143543
chr1	QRBI01000120.1	3400001	3500000	0.01821698
chr1	QRBI01000120.1	3500001	3600000	0.01870984
chr1	QRBI01000120.1	3600001	3700000	0.01434152
chr1	QRBI01000120.1	3700001	3800000	0.01536737
chr1	QRBI01000120.1	3800001	3900000	0.01460425
chr1	QRBI01000120.1	3900001	4000000	0.01255326
chr1	QRBI01000120.1	4000001	4100000	0.0117693
chr1	QRBI01000120.1	4100001	4200000	0.009507075
chr1	QRBI01000120.1	4200001	4300000	0.01864885
