CHROM	SCAFF	BIN_START	BIN_END	pbs
chr1	QRBI01000120.1	1	100000	0.018559565
chr1	QRBI01000120.1	100001	200000	0.015417295
chr1	QRBI01000120.1	200001	300000	0.025402535
chr1	QRBI01000120.1	300001	400000	0.018725485
chr1	QRBI01000120.1	400001	500000	0.024886465
chr1	QRBI01000120.1	500001	600000	0.0166318
chr1	QRBI01000120.1	600001	700000	0.01789905
chr1	QRBI01000120.1	700001	800000	0.02125422
chr1	QRBI01000120.1	800001	900000	0.01724925
chr1	QRBI01000120.1	900001	1000000	0.012637585
chr1	QRBI01000120.1	1000001	1100000	0.028413955
chr1	QRBI01000120.1	1100001	1200000	0.0147168265
chr1	QRBI01000120.1	1200001	1300000	0.01497345
chr1	QRBI01000120.1	1300001	1400000	0.03591115
chr1	QRBI01000120.1	1400001	1500000	0.02320139
chr1	QRBI01000120.1	1500001	1600000	0.035283285
chr1	QRBI01000120.1	1600001	1700000	0.03988282
chr1	QRBI01000120.1	1700001	1800000	0.024011295
chr1	QRBI01000120.1	1800001	1900000	0.022911
chr1	QRBI01000120.1	1900001	2000000	0.019953995
chr1	QRBI01000120.1	2000001	2100000	0.016200715
chr1	QRBI01000120.1	2100001	2200000	0.036050355
chr1	QRBI01000120.1	2200001	2300000	0.019762605
chr1	QRBI01000120.1	2300001	2400000	0.03581631
chr1	QRBI01000120.1	2400001	2500000	0.02219584
chr1	QRBI01000120.1	2500001	2600000	0.01379124
chr1	QRBI01000120.1	2600001	2700000	0.02695635
chr1	QRBI01000120.1	2700001	2800000	0.021111915
chr1	QRBI01000120.1	2800001	2900000	0.01704829
chr1	QRBI01000120.1	2900001	3000000	0.02681865
chr1	QRBI01000120.1	3000001	3100000	0.01258013
chr1	QRBI01000120.1	3100001	3200000	0.012522605
chr1	QRBI01000120.1	3200001	3300000	0.01619575
chr1	QRBI01000120.1	3300001	3400000	0.010626075
chr1	QRBI01000120.1	3400001	3500000	0.019381245
chr1	QRBI01000120.1	3500001	3600000	0.0282314
chr1	QRBI01000120.1	3600001	3700000	0.01956035
chr1	QRBI01000120.1	3700001	3800000	0.027860365
chr1	QRBI01000120.1	3800001	3900000	0.0211678
chr1	QRBI01000120.1	3900001	4000000	0.02500945
chr1	QRBI01000120.1	4000001	4100000	0.0235013
chr1	QRBI01000120.1	4100001	4200000	0.01851893
chr1	QRBI01000120.1	4200001	4300000	0.0112615
chr1	QRBI01000120.1	4300001	4400000	0.01344832
chr1	QRBI01000120.1	4400001	4500000	0.02234025
chr1	QRBI01000120.1	4500001	4600000	0.023699725
chr1	QRBI01000120.1	4600001	4700000	0.0266146
chr1	QRBI01000120.1	4700001	4800000	0.03138224535
chr1	QRBI01000120.1	4800001	4900000	0.05479255
chr1	QRBI01000120.1	4900001	5000000	0.02431654
chr1	QRBI01000120.1	5000001	5100000	0.01940985
chr1	QRBI01000120.1	5100001	5200000	0.025409985
