CHROM	BIN_START	N_SNPS	TajimaD
QRBI01000060.1	0	2	-0.485974
QRBI01000120.1	0	2079	-0.348413
QRBI01000120.1	100000	2161	-0.364687
QRBI01000120.1	200000	2261	-0.340816
QRBI01000120.1	300000	1950	-0.357923
QRBI01000120.1	400000	1885	-0.339911
QRBI01000120.1	500000	2006	-0.346553
QRBI01000120.1	600000	1954	-0.19564
QRBI01000120.1	700000	1772	-0.141198
QRBI01000120.1	800000	1676	-0.345814
QRBI01000120.1	900000	1979	-0.510894
QRBI01000120.1	1000000	1987	-0.45007
QRBI01000120.1	1100000	1331	-0.466383
QRBI01000120.1	1200000	1933	-0.648791
QRBI01000120.1	1300000	1624	-0.427852
QRBI01000120.1	1400000	1730	-0.499503
QRBI01000120.1	1500000	1748	-0.400001
QRBI01000120.1	1600000	1679	-0.240875
QRBI01000120.1	1700000	1798	-0.504554
QRBI01000120.1	1800000	1735	-0.582197
QRBI01000120.1	1900000	1811	-0.589173
QRBI01000120.1	2000000	2034	-0.495651
QRBI01000120.1	2100000	1831	-0.509288
QRBI01000120.1	2200000	1818	-0.638248
QRBI01000120.1	2300000	1849	-0.412552
QRBI01000120.1	2400000	1837	-0.669854
QRBI01000120.1	2500000	1872	-0.524665
QRBI01000120.1	2600000	2132	-0.577018
QRBI01000120.1	2700000	1762	-0.503443
QRBI01000120.1	2800000	1863	-0.571349
QRBI01000120.1	2900000	2034	-0.342122
QRBI01000120.1	3000000	2232	-0.662852
QRBI01000120.1	3100000	2400	-0.407513
QRBI01000120.1	3200000	1907	-0.639008
QRBI01000120.1	3300000	1802	-0.585234
QRBI01000120.1	3400000	1970	-0.540341
QRBI01000120.1	3500000	1826	-0.653342
QRBI01000120.1	3600000	1788	-0.608928
QRBI01000120.1	3700000	1865	-0.534861
QRBI01000120.1	3800000	2120	-0.429216
QRBI01000120.1	3900000	2130	-0.442434
QRBI01000120.1	4000000	1904	-0.365208
QRBI01000120.1	4100000	2065	-0.532445
QRBI01000120.1	4200000	1682	-0.680461
QRBI01000120.1	4300000	1481	-0.895966
QRBI01000120.1	4400000	1574	-0.546409
QRBI01000120.1	4500000	1777	-0.551503
QRBI01000120.1	4600000	1889	-0.410605
QRBI01000120.1	4700000	1581	-0.413884
QRBI01000120.1	4800000	1794	-0.300363
QRBI01000120.1	4900000	2219	-0.397285
QRBI01000120.1	5000000	2134	-0.455247
QRBI01000120.1	5100000	2140	-0.659281
QRBI01000120.1	5200000	2025	-0.69993
QRBI01000120.1	5300000	2006	-0.452234
QRBI01000120.1	5400000	2089	-0.454075
QRBI01000120.1	5500000	2280	-0.480415
QRBI01000120.1	5600000	2012	-0.509086
QRBI01000120.1	5700000	1785	-0.679999
QRBI01000120.1	5800000	1890	-0.493773
QRBI01000120.1	5900000	1772	-0.422139
QRBI01000120.1	6000000	1570	-0.521301
QRBI01000120.1	6100000	1251	-0.982991
QRBI01000120.1	6200000	1881	-0.6726
QRBI01000120.1	6300000	2023	-0.709165
QRBI01000120.1	6400000	1994	-0.591992
QRBI01000120.1	6500000	1725	-0.611193
QRBI01000120.1	6600000	1987	-0.671812
QRBI01000120.1	6700000	1802	-0.578037
QRBI01000120.1	6800000	1884	-0.584508
QRBI01000120.1	6900000	2186	-0.392484
QRBI01000120.1	7000000	2014	-0.599567
QRBI01000120.1	7100000	1667	-0.610026
QRBI01000120.1	7200000	1363	-0.198396
QRBI01000120.1	7300000	1275	-0.451095
QRBI01000120.1	7400000	1481	-0.48745
QRBI01000120.1	7500000	1701	-0.532552
QRBI01000120.1	7600000	1475	-0.515885
QRBI01000120.1	7700000	1376	-0.387018
QRBI01000120.1	7800000	1681	-0.394458
QRBI01000120.1	7900000	1312	-0.378707
QRBI01000120.1	8000000	1324	-0.744
QRBI01000120.1	8100000	1243	-0.467252
QRBI01000120.1	8200000	1384	-0.674018
QRBI01000120.1	8300000	1384	-0.546094
QRBI01000120.1	8400000	1595	-0.348945
QRBI01000120.1	8500000	1305	-0.308216
QRBI01000120.1	8600000	1181	-0.336915
QRBI01000120.1	8700000	1336	-0.518926
QRBI01000120.1	8800000	1280	-0.459583
QRBI01000120.1	8900000	1292	-0.386359
QRBI01000120.1	9000000	1526	-0.646768
QRBI01000120.1	9100000	1312	-0.428253
QRBI01000120.1	9200000	1608	-0.202991
QRBI01000120.1	9300000	1369	-0.347431
