CHROM	BIN_START	N_SNPS	TajimaD
QRBI01000060.1	0	2	-0.828492
QRBI01000120.1	0	3923	-1.09554
QRBI01000120.1	100000	4173	-1.1845
QRBI01000120.1	200000	4130	-1.05993
QRBI01000120.1	300000	3824	-1.17338
QRBI01000120.1	400000	3806	-1.21838
QRBI01000120.1	500000	3779	-1.10483
QRBI01000120.1	600000	3723	-0.949279
QRBI01000120.1	700000	3539	-1.02473
QRBI01000120.1	800000	3377	-1.26787
QRBI01000120.1	900000	3919	-1.26831
QRBI01000120.1	1000000	3892	-1.22956
QRBI01000120.1	1100000	2462	-1.20229
QRBI01000120.1	1200000	3801	-1.39105
QRBI01000120.1	1300000	3405	-1.39134
QRBI01000120.1	1400000	3474	-1.32217
QRBI01000120.1	1500000	3729	-1.34694
QRBI01000120.1	1600000	3485	-1.19676
QRBI01000120.1	1700000	3470	-1.25526
QRBI01000120.1	1800000	3478	-1.48077
QRBI01000120.1	1900000	3500	-1.36621
QRBI01000120.1	2000000	3821	-1.2287
QRBI01000120.1	2100000	3711	-1.29419
QRBI01000120.1	2200000	3615	-1.36012
QRBI01000120.1	2300000	3748	-1.27584
QRBI01000120.1	2400000	3770	-1.50236
QRBI01000120.1	2500000	3569	-1.27831
QRBI01000120.1	2600000	4001	-1.27322
QRBI01000120.1	2700000	3530	-1.28939
QRBI01000120.1	2800000	3513	-1.24393
QRBI01000120.1	2900000	3615	-0.966409
QRBI01000120.1	3000000	4301	-1.35187
QRBI01000120.1	3100000	4308	-1.05423
QRBI01000120.1	3200000	3853	-1.4486
QRBI01000120.1	3300000	3483	-1.32531
QRBI01000120.1	3400000	3870	-1.32589
QRBI01000120.1	3500000	3654	-1.44907
QRBI01000120.1	3600000	3444	-1.40365
QRBI01000120.1	3700000	3702	-1.38347
QRBI01000120.1	3800000	4184	-1.26739
QRBI01000120.1	3900000	4025	-1.20561
QRBI01000120.1	4000000	3846	-1.22253
QRBI01000120.1	4100000	3950	-1.28321
QRBI01000120.1	4200000	3360	-1.53378
QRBI01000120.1	4300000	3028	-1.61871
QRBI01000120.1	4400000	3389	-1.50015
QRBI01000120.1	4500000	3712	-1.41933
QRBI01000120.1	4600000	3909	-1.31829
QRBI01000120.1	4700000	3155	-1.25031
QRBI01000120.1	4800000	3746	-1.30926
QRBI01000120.1	4900000	4389	-1.23621
QRBI01000120.1	5000000	4248	-1.24203
QRBI01000120.1	5100000	4096	-1.35518
QRBI01000120.1	5200000	4126	-1.46684
QRBI01000120.1	5300000	4120	-1.3322
QRBI01000120.1	5400000	4078	-1.31594
QRBI01000120.1	5500000	4084	-1.13087
QRBI01000120.1	5600000	3893	-1.20222
QRBI01000120.1	5700000	3436	-1.43587
QRBI01000120.1	5800000	3742	-1.41715
QRBI01000120.1	5900000	3392	-1.31468
QRBI01000120.1	6000000	3121	-1.44464
QRBI01000120.1	6100000	2509	-1.68058
QRBI01000120.1	6200000	3672	-1.46224
QRBI01000120.1	6300000	4030	-1.51329
QRBI01000120.1	6400000	4063	-1.4423
QRBI01000120.1	6500000	3553	-1.45743
QRBI01000120.1	6600000	4083	-1.50032
QRBI01000120.1	6700000	3369	-1.31617
QRBI01000120.1	6800000	3588	-1.32222
QRBI01000120.1	6900000	4337	-1.23182
QRBI01000120.1	7000000	3836	-1.32829
QRBI01000120.1	7100000	3174	-1.34857
QRBI01000120.1	7200000	2731	-1.13237
QRBI01000120.1	7300000	2535	-1.21508
QRBI01000120.1	7400000	2931	-1.40973
QRBI01000120.1	7500000	3173	-1.22039
QRBI01000120.1	7600000	3095	-1.45107
QRBI01000120.1	7700000	2767	-1.30223
QRBI01000120.1	7800000	3454	-1.28895
QRBI01000120.1	7900000	2714	-1.30494
QRBI01000120.1	8000000	2853	-1.60941
QRBI01000120.1	8100000	2689	-1.4784
QRBI01000120.1	8200000	2690	-1.43878
QRBI01000120.1	8300000	2688	-1.22744
QRBI01000120.1	8400000	3048	-1.14093
QRBI01000120.1	8500000	2621	-1.28029
QRBI01000120.1	8600000	2457	-1.30849
QRBI01000120.1	8700000	2796	-1.37679
QRBI01000120.1	8800000	2539	-1.23582
QRBI01000120.1	8900000	2563	-1.24257
QRBI01000120.1	9000000	3074	-1.45858
QRBI01000120.1	9100000	3095	-1.52732
QRBI01000120.1	9200000	3431	-1.30806
QRBI01000120.1	9300000	2728	-1.27848
QRBI01000120.1	9400000	2693	-1.2114
QRBI01000120.1	9500000	3117	-1.36282
QRBI01000120.1	9600000	2707	-1.40642
QRBI01000120.1	9700000	2530	-1.43599
QRBI01000120.1	9800000	2427	-1.33502
QRBI01000120.1	9900000	2297	-1.24592
QRBI01000120.1	10000000	2090	-1.37072
QRBI01000120.1	10100000	2695	-1.09062
QRBI01000120.1	10200000	2398	-1.31818
QRBI01000120.1	10300000	2897	-1.31729
QRBI01000120.1	10400000	2215	-1.29914
QRBI01000120.1	10500000	2450	-1.28187
QRBI01000120.1	10600000	2549	-1.15563
QRBI01000120.1	10700000	2561	-1.35623
QRBI01000120.1	10800000	2411	-1.36314
QRBI01000120.1	10900000	2732	-1.21335
QRBI01000120.1	11000000	2489	-1.14953
QRBI01000120.1	11100000	2376	-1.43129
QRBI01000120.1	11200000	2982	-1.64104
QRBI01000120.1	11300000	2967	-1.48774
QRBI01000120.1	11400000	2742	-1.49957
QRBI01000120.1	11500000	2379	-1.25761
QRBI01000120.1	11600000	2912	-1.11813
QRBI01000120.1	11700000	3287	-1.44855
QRBI01000120.1	11800000	3078	-1.24394
QRBI01000120.1	11900000	2735	-1.46894
QRBI01000120.1	12000000	3451	-1.22983
QRBI01000120.1	12100000	3137	-1.62926
QRBI01000120.1	12200000	3036	-1.42382
QRBI01000120.1	12300000	2869	-1.41444
QRBI01000120.1	12400000	3043	-1.42099
QRBI01000120.1	12500000	3539	-1.35156
QRBI01000120.1	12600000	3226	-1.44548
QRBI01000120.1	12700000	3294	-1.5538
QRBI01000120.1	12800000	3056	-1.38224
QRBI01000120.1	12900000	2939	-1.48006
QRBI01000120.1	13000000	2861	-1.33066
QRBI01000120.1	13100000	2870	-1.44692
QRBI01000120.1	13200000	2360	-1.59918
QRBI01000120.1	13300000	2693	-1.50174
QRBI01000120.1	13400000	2609	-1.47861
QRBI01000120.1	13500000	2622	-1.29289
QRBI01000120.1	13600000	3116	-1.33309
QRBI01000120.1	13700000	3507	-1.29411
QRBI01000120.1	13800000	3290	-1.16936
QRBI01000120.1	13900000	3686	-1.10497
QRBI01000120.1	14000000	3479	-1.09799
QRBI01000120.1	14100000	2865	-1.53382
QRBI01000120.1	14200000	2771	-1.40903
QRBI01000120.1	14300000	3113	-1.35309
QRBI01000120.1	14400000	2754	-1.33856
QRBI01000120.1	14500000	2984	-1.67021
QRBI01000120.1	14600000	2924	-1.4357
QRBI01000120.1	14700000	2901	-1.66829
QRBI01000120.1	14800000	2803	-1.53137
QRBI01000120.1	14900000	3177	-1.60822
QRBI01000120.1	15000000	3202	-1.46605
QRBI01000120.1	15100000	3175	-1.35236
QRBI01000120.1	15200000	3150	-1.20336
QRBI01000120.1	15300000	3284	-1.28732
QRBI01000120.1	15400000	2767	-1.48298
QRBI01000120.1	15500000	3051	-1.33311
QRBI01000120.1	15600000	2062	-1.51777
QRBI01000120.1	15700000	3047	-1.34394
QRBI01000120.1	15800000	3354	-1.20092
QRBI01000120.1	15900000	3180	-1.31816
QRBI01000120.1	16000000	3555	-1.35501
QRBI01000120.1	16100000	3381	-1.15756
QRBI01000120.1	16200000	3352	-1.43077
QRBI01000120.1	16300000	3316	-1.49232
QRBI01000120.1	16400000	2802	-1.27657
QRBI01000120.1	16500000	3084	-1.5377
QRBI01000120.1	16600000	2963	-1.44058
QRBI01000120.1	16700000	2908	-1.33614
QRBI01000120.1	16800000	3762	-1.28754
QRBI01000120.1	16900000	3453	-1.36483
