scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
QRBI01000120.1,2001,4000,3113,140,51,2.7859,1.3484,0.3477,0.2983,0.2179
QRBI01000120.1,4001,6000,5117,162,58,3.1435,2.4074,0.1326,0.1263,0.0765
QRBI01000120.1,12001,14000,12997,162,62,1.5127,1.2072,0.1123,0.0756,0.0516
QRBI01000120.1,14001,16000,15066,196,55,0.7153,0.4583,0.2189,0.1312,0.0727
QRBI01000120.1,20001,22000,21100,176,63,1.838,0.963,0.3124,0.1529,0.1102
QRBI01000120.1,42001,44000,43080,183,71,1.9514,1.9931,-0.0106,-0.0083,-0.0053
QRBI01000120.1,44001,46000,44829,157,50,0.5417,0.5903,-0.0429,-0.0216,-0.014
QRBI01000120.1,48001,50000,48798,145,55,2.294,1.919,0.089,0.1304,0.0651
QRBI01000120.1,54001,56000,55118,129,53,1.5949,0.7894,0.3379,0.2959,0.1093
QRBI01000120.1,64001,66000,65089,150,53,0.9074,1.2685,-0.166,-0.1688,-0.0841
QRBI01000120.1,72001,74000,72993,188,71,2.0231,1.8356,0.0486,0.0403,0.021
QRBI01000120.1,82001,84000,82936,169,72,1.0486,3.7431,-0.5623,-1.2848,-0.3167
QRBI01000120.1,84001,86000,84828,125,54,1.1157,2.2963,-0.346,-0.4198,-0.2076
QRBI01000120.1,86001,88000,86972,158,50,0.5463,2.6852,-0.6619,-3.2083,-0.3632
QRBI01000120.1,90001,92000,90735,138,52,1.4375,1.1667,0.104,0.0982,0.0632
QRBI01000120.1,114001,116000,114951,166,51,2.0035,0.8368,0.4108,0.3146,0.2024
QRBI01000120.1,126001,128000,127084,137,54,0.8495,0.5579,0.2072,0.0711,0.0544
QRBI01000120.1,132001,134000,133086,163,50,0.4722,0.6944,-0.1905,-0.1808,-0.0589
QRBI01000120.1,136001,138000,137151,234,90,1.7917,2.0,-0.0549,-0.0538,-0.0302
QRBI01000120.1,138001,140000,138685,174,56,1.7315,1.794,-0.0177,-0.0251,-0.0121
QRBI01000120.1,140001,142000,140936,162,62,2.412,1.3704,0.2754,0.2896,0.1451
QRBI01000120.1,142001,144000,142886,141,59,1.4456,1.3484,0.0348,0.0299,0.0172
QRBI01000120.1,146001,148000,147061,163,54,1.684,1.1632,0.1829,0.1603,0.1068
QRBI01000120.1,158001,160000,158886,148,61,0.5729,2.0382,-0.5612,-0.628,-0.2198
QRBI01000120.1,166001,168000,167190,153,55,0.2639,0.5,-0.3091,-0.1382,-0.0623
QRBI01000120.1,208001,210000,208977,149,59,4.3102,2.956,0.1864,0.1914,0.1223
QRBI01000120.1,212001,214000,213031,154,68,2.9398,2.1204,0.1619,0.201,0.1087
QRBI01000120.1,218001,220000,218892,198,54,1.0833,1.1806,-0.0429,-0.0423,-0.0216
QRBI01000120.1,240001,242000,241007,160,62,1.537,0.9329,0.2446,0.1648,0.1088
QRBI01000120.1,258001,260000,258927,200,84,2.8843,1.7662,0.2404,0.1693,0.1169
QRBI01000120.1,260001,262000,260884,144,56,1.1597,2.2708,-0.3239,-0.7583,-0.218
QRBI01000120.1,262001,264000,263096,159,57,1.6366,1.7894,-0.0446,-0.0494,-0.0257
QRBI01000120.1,264001,266000,265195,164,68,2.338,1.9213,0.0978,0.088,0.0576
QRBI01000120.1,266001,268000,266986,140,52,1.7199,0.6644,0.4427,0.3385,0.2141
QRBI01000120.1,274001,276000,274949,143,58,2.2755,1.4005,0.238,0.1881,0.1234
QRBI01000120.1,292001,294000,293002,239,123,3.7836,6.2627,-0.2468,-0.4972,-0.2025
QRBI01000120.1,294001,296000,294907,159,59,1.8322,0.6447,0.4794,0.3076,0.2603
QRBI01000120.1,296001,298000,296949,175,67,2.2575,2.9381,-0.131,-0.2384,-0.0707
QRBI01000120.1,308001,310000,309003,170,66,0.9306,1.5972,-0.2637,-0.1736,-0.0854
QRBI01000120.1,320001,322000,321121,138,52,0.5139,0.9861,-0.3148,-0.2394,-0.0892
QRBI01000120.1,332001,334000,333030,154,55,1.9074,2.8935,-0.2054,-0.2869,-0.1543
QRBI01000120.1,334001,336000,335050,145,66,2.7847,1.4792,0.3062,0.2474,0.1607
QRBI01000120.1,340001,342000,341155,158,53,1.5718,1.8356,-0.0774,-0.1284,-0.0614
QRBI01000120.1,346001,348000,347144,159,55,1.2431,1.0486,0.0848,0.0615,0.0383
QRBI01000120.1,348001,350000,348996,160,53,1.2431,1.0069,0.1049,0.1466,0.0548
QRBI01000120.1,356001,358000,357032,135,53,1.5046,1.1157,0.1484,0.1789,0.0808
QRBI01000120.1,358001,360000,359142,157,55,2.7674,1.5868,0.2711,0.2603,0.1677
QRBI01000120.1,368001,370000,368802,132,52,0.8796,1.3519,-0.2116,-0.2313,-0.0734
QRBI01000120.1,372001,374000,373062,194,62,1.8657,1.4977,0.1094,0.1031,0.0534
QRBI01000120.1,374001,376000,375089,153,61,1.2731,1.3565,-0.0317,-0.0365,-0.0173
QRBI01000120.1,380001,382000,381084,181,62,2.412,1.3565,0.2801,0.2275,0.1585
QRBI01000120.1,400001,402000,400920,169,59,1.4653,1.0069,0.1854,0.15,0.071
QRBI01000120.1,402001,404000,402985,187,60,1.4468,1.0995,0.1364,0.1397,0.0817
