CHROM	BIN_START	N_SNPS	TajimaD
QRBI01000060.1	0	6	-1.32498
QRBI01000120.1	0	3725	-0.964544
QRBI01000120.1	100000	3778	-0.998067
QRBI01000120.1	200000	3757	-0.906864
QRBI01000120.1	300000	3532	-1.03102
QRBI01000120.1	400000	3535	-1.05911
QRBI01000120.1	500000	3445	-0.901952
QRBI01000120.1	600000	3437	-0.798531
QRBI01000120.1	700000	3322	-0.869187
QRBI01000120.1	800000	3095	-1.08014
QRBI01000120.1	900000	3633	-1.12717
QRBI01000120.1	1000000	3616	-1.06267
QRBI01000120.1	1100000	2311	-1.12425
QRBI01000120.1	1200000	3498	-1.2767
QRBI01000120.1	1300000	3141	-1.24289
QRBI01000120.1	1400000	3241	-1.27896
QRBI01000120.1	1500000	3450	-1.24685
QRBI01000120.1	1600000	3285	-1.08336
QRBI01000120.1	1700000	3218	-1.09769
QRBI01000120.1	1800000	3274	-1.37834
QRBI01000120.1	1900000	3030	-1.1271
QRBI01000120.1	2000000	3543	-1.12565
QRBI01000120.1	2100000	3376	-1.14481
QRBI01000120.1	2200000	3306	-1.24727
QRBI01000120.1	2300000	3541	-1.20814
QRBI01000120.1	2400000	3663	-1.4649
QRBI01000120.1	2500000	3298	-1.15137
QRBI01000120.1	2600000	3781	-1.19177
QRBI01000120.1	2700000	3302	-1.1761
QRBI01000120.1	2800000	3276	-1.08811
QRBI01000120.1	2900000	3453	-0.912047
QRBI01000120.1	3000000	4047	-1.25931
QRBI01000120.1	3100000	3888	-0.955513
QRBI01000120.1	3200000	3510	-1.28924
QRBI01000120.1	3300000	3280	-1.23754
QRBI01000120.1	3400000	3506	-1.16103
QRBI01000120.1	3500000	3374	-1.3258
QRBI01000120.1	3600000	3147	-1.26203
QRBI01000120.1	3700000	3347	-1.21799
QRBI01000120.1	3800000	3760	-1.05095
QRBI01000120.1	3900000	3722	-1.09461
QRBI01000120.1	4000000	3562	-1.11307
QRBI01000120.1	4100000	3583	-1.12773
QRBI01000120.1	4200000	3046	-1.2852
QRBI01000120.1	4300000	2630	-1.33883
QRBI01000120.1	4400000	3068	-1.40742
QRBI01000120.1	4500000	3472	-1.33205
QRBI01000120.1	4600000	3789	-1.27651
QRBI01000120.1	4700000	2963	-1.21494
QRBI01000120.1	4800000	3386	-1.21619
QRBI01000120.1	4900000	4027	-1.12981
QRBI01000120.1	5000000	3856	-1.06703
QRBI01000120.1	5100000	3697	-1.20636
QRBI01000120.1	5200000	3590	-1.21106
QRBI01000120.1	5300000	3904	-1.26136
QRBI01000120.1	5400000	3748	-1.19167
QRBI01000120.1	5500000	3738	-0.991929
QRBI01000120.1	5600000	3453	-1.01306
QRBI01000120.1	5700000	3148	-1.28766
QRBI01000120.1	5800000	3381	-1.24917
QRBI01000120.1	5900000	3191	-1.21992
QRBI01000120.1	6000000	2857	-1.27744
QRBI01000120.1	6100000	2332	-1.56119
QRBI01000120.1	6200000	3411	-1.37166
QRBI01000120.1	6300000	3707	-1.37368
QRBI01000120.1	6400000	3721	-1.31286
QRBI01000120.1	6500000	3334	-1.32937
QRBI01000120.1	6600000	3591	-1.32989
QRBI01000120.1	6700000	3131	-1.15612
QRBI01000120.1	6800000	3279	-1.16766
QRBI01000120.1	6900000	4005	-1.05841
QRBI01000120.1	7000000	3469	-1.14154
QRBI01000120.1	7100000	2837	-1.17305
QRBI01000120.1	7200000	2297	-0.872519
QRBI01000120.1	7300000	2226	-1.04452
QRBI01000120.1	7400000	2591	-1.1632
QRBI01000120.1	7500000	2905	-1.1073
